product_name,current_contract_status,Shop,revenu_range,depenses_mensuelles,depenses_recurrentes,motivation_kit,kit_concurrence,cout_kit_credit,duree_pret_comprise,montant_correspondant,accord_penalites_retard,informer_code_ussd,numero_cx_communique,informer_5j_arrieres_45j,informer_90j_retard,metier,activite_professionnelle,traite_comprise
0,1,13,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,3,1
0,1,3,0,150000,1,0,0,1,1,1,0,1,1,1,1,0,0,1
0,1,7,0,150000,0,0,0,1,1,1,1,1,1,1,1,1,4,1
0,1,11,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,16,2,150000,0,0,0,1,1,1,1,1,1,1,1,0,3,1
0,1,9,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,14,3,150000,1,4,0,1,1,1,1,1,1,1,1,0,11,1
0,1,16,2,150000,0,0,0,1,1,1,1,1,1,1,1,1,5,1
0,1,2,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,7,3,150000,0,0,0,1,1,1,1,1,1,1,1,1,9,1
0,1,6,2,150000,0,0,0,1,1,1,1,1,1,1,1,0,1,1
0,1,12,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,8,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,7,1
0,1,11,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,0,1
0,1,16,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,1,1
0,1,9,0,150000,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,0,10,0,150000,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,1,2,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,1,1
0,1,7,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,7,1
0,1,16,0,150000,0,0,0,1,1,1,1,1,1,1,1,1,3,1
0,1,9,0,150000,0,0,0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,3,150000,1,0,0,1,1,1,0,1,1,1,1,1,7,1
0,1,6,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,2,0,150000,1,0,0,1,1,1,1,1,1,1,1,1,0,1
